qid,qtype,arm,budget,variants,joint_recall,candidate_joint_recall,session_joint_recall,turn_r10,turn_ndcg10,sess_r5,rendered_tokens,duplicate_share,n_candidates,n_rendered,n_truncated,truncated_evidence,missing,cut_evidence
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_R2,4000,,1.0,1.0,1.0,0.8333333333333334,0.802545747205441,0.8333333333333334,4000,0.0,44,62,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_P0,4000,,1.0,1.0,1.0,0.8333333333333334,0.77618726054832,0.8333333333333334,4000,0.0,45,61,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S2_lazy,4000,,1.0,1.0,1.0,0.8333333333333334,0.6678067074646311,0.8333333333333334,4000,0.0,95,59,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,ours_cheap,8000,,1.0,1.0,1.0,1.0,0.7686741786309024,0.8333333333333334,4826,0.0,46,78,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,ours_cheap_norule,8000,,1.0,1.0,1.0,0.8333333333333334,0.5852404021106663,0.8333333333333334,8000,0.0,100,32,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,ours_sentence_norule,8000,,1.0,1.0,1.0,0.6666666666666666,0.4941479988872082,0.8333333333333334,8000,0.0,100,30,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S4_static,8000,,1.0,1.0,1.0,0.8333333333333334,0.6678067074646311,0.8333333333333334,5933,0.0,45,95,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_primary,8000,,1.0,1.0,1.0,0.8333333333333334,0.7419486469368768,0.8333333333333334,5952,0.0,46,99,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_primary_norule,8000,,0.0,1.0,1.0,0.16666666666666666,0.10778915452451093,0.8333333333333334,8000,0.0,100,24,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_noPGR,8000,,1.0,1.0,1.0,0.8333333333333334,0.5825096390605922,0.8333333333333334,5419,0.0,41,88,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_planner_rules,8000,,1.0,1.0,1.0,0.8333333333333334,0.7419486469368768,0.8333333333333334,5952,0.0,46,99,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_planner_oracle,8000,,1.0,1.0,1.0,0.8333333333333334,0.7419486469368768,0.8333333333333334,5952,0.0,46,99,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_R0,8000,,1.0,1.0,1.0,0.8333333333333334,0.6678067074646311,0.8333333333333334,5933,0.0,44,95,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_R2,8000,,1.0,1.0,1.0,0.8333333333333334,0.802545747205441,0.8333333333333334,5901,0.0,44,96,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S5_overlay_P0,8000,,1.0,1.0,1.0,0.8333333333333334,0.77618726054832,0.8333333333333334,6277,0.0,45,99,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,S2_lazy,8000,,1.0,1.0,1.0,0.8333333333333334,0.6678067074646311,0.8333333333333334,5933,0.0,95,95,0,0,False,0
gpt4_a1b77f9c,temporal-reasoning,chandan_live,4000,"shipped,raised_4k",0.0,1.0,0.0,0.16666666666666666,0.30260241349881345,0.8333333333333334,4000,0.0,227,2,1,1,False,0
gpt4_a1b77f9c,temporal-reasoning,chandan_full,4000,shipped,0.0,1.0,0.0,0.16666666666666666,0.30260241349881345,0.8333333333333334,4000,0.0,227,2,1,1,False,0
gpt4_a1b77f9c,temporal-reasoning,chandan_live,8000,"shipped,raised_8k",0.0,1.0,0.0,0.16666666666666666,0.30260241349881345,0.8333333333333334,8000,0.0,227,3,1,0,False,0
gpt4_a1b77f9c,temporal-reasoning,chandan_full,8000,shipped,0.0,1.0,0.0,0.16666666666666666,0.30260241349881345,0.8333333333333334,8000,0.0,227,3,1,0,False,0
6b7dfb22,single-session-preference,ours_cheap,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,100,30,1,0,False,0
6b7dfb22,single-session-preference,ours_cheap_norule,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,100,30,1,0,False,0
6b7dfb22,single-session-preference,ours_sentence_norule,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,100,29,1,0,False,0
6b7dfb22,single-session-preference,S4_static,4000,,1.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,18,1,0,False,0
6b7dfb22,single-session-preference,S5_primary,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,15,1,0,False,0
6b7dfb22,single-session-preference,S5_primary_norule,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,15,1,0,False,0
6b7dfb22,single-session-preference,S5_noPGR,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,19,1,0,False,0
6b7dfb22,single-session-preference,S5_planner_rules,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,15,1,0,False,0
6b7dfb22,single-session-preference,S5_planner_oracle,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,15,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_R0,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,15,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_R2,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,15,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_P0,4000,,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,100,17,1,0,False,0
6b7dfb22,single-session-preference,S2_lazy,4000,,1.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,264,18,1,0,False,0
6b7dfb22,single-session-preference,ours_cheap,8000,,1.0,1.0,1.0,1.0,1.0,1.0,7999,0.0,100,50,0,0,False,0
6b7dfb22,single-session-preference,ours_cheap_norule,8000,,1.0,1.0,1.0,1.0,1.0,1.0,7999,0.0,100,50,0,0,False,0
6b7dfb22,single-session-preference,ours_sentence_norule,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,100,52,1,0,False,0
6b7dfb22,single-session-preference,S4_static,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,37,1,0,False,0
6b7dfb22,single-session-preference,S5_primary,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,34,1,0,False,0
6b7dfb22,single-session-preference,S5_primary_norule,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,34,1,0,False,0
6b7dfb22,single-session-preference,S5_noPGR,8000,,0.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,31,1,0,False,0
6b7dfb22,single-session-preference,S5_planner_rules,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,34,1,0,False,0
6b7dfb22,single-session-preference,S5_planner_oracle,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,34,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_R0,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,36,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_R2,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,34,1,0,False,0
6b7dfb22,single-session-preference,S5_overlay_P0,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,100,34,1,0,False,0
6b7dfb22,single-session-preference,S2_lazy,8000,,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,264,37,1,0,False,0
6b7dfb22,single-session-preference,chandan_live,4000,"shipped,raised_4k",0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,254,1,1,0,False,0
6b7dfb22,single-session-preference,chandan_full,4000,shipped,0.0,1.0,1.0,0.0,0.0,1.0,4000,0.0,254,1,1,0,False,0
6b7dfb22,single-session-preference,chandan_live,8000,"shipped,raised_8k",1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,254,3,1,0,False,0
6b7dfb22,single-session-preference,chandan_full,8000,shipped,1.0,1.0,1.0,0.0,0.0,1.0,8000,0.0,254,3,1,0,False,0
eac54adc,temporal-reasoning,ours_cheap,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,71,44,1,0,False,0
eac54adc,temporal-reasoning,ours_cheap_norule,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,100,19,1,0,False,0
eac54adc,temporal-reasoning,ours_sentence_norule,4000,,1.0,1.0,1.0,1.0,0.8503449055347546,1.0,4000,0.0,100,15,1,0,False,0
eac54adc,temporal-reasoning,S4_static,4000,,1.0,1.0,1.0,1.0,1.0,1.0,3992,0.0,60,33,0,0,False,0
eac54adc,temporal-reasoning,S5_primary,4000,,1.0,1.0,1.0,1.0,1.0,1.0,3990,0.0,52,29,0,0,False,0
eac54adc,temporal-reasoning,S5_primary_norule,4000,,1.0,1.0,1.0,1.0,0.9197207891481876,1.0,4000,0.0,100,14,1,0,False,0
eac54adc,temporal-reasoning,S5_noPGR,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,62,30,1,0,False,0
eac54adc,temporal-reasoning,S5_planner_rules,4000,,1.0,1.0,1.0,1.0,1.0,1.0,3990,0.0,52,29,0,0,False,0
eac54adc,temporal-reasoning,S5_planner_oracle,4000,,1.0,1.0,1.0,1.0,1.0,1.0,3990,0.0,52,29,0,0,False,0
eac54adc,temporal-reasoning,S5_overlay_R0,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,56,29,1,0,False,0
eac54adc,temporal-reasoning,S5_overlay_R2,4000,,1.0,1.0,1.0,1.0,1.0,1.0,3990,0.0,52,29,0,0,False,0
eac54adc,temporal-reasoning,S5_overlay_P0,4000,,1.0,1.0,1.0,1.0,1.0,1.0,4000,0.0,55,30,1,0,False,0
eac54adc,temporal-reasoning,S2_lazy,4000,,1.0,1.0,1.0,1.0,1.0,1.0,3992,0.0,146,33,0,0,False,0
eac54adc,temporal-reasoning,ours_cheap,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,71,95,1,0,False,0
eac54adc,temporal-reasoning,ours_cheap_norule,8000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,8000,0.0,100,49,1,0,False,0
eac54adc,temporal-reasoning,ours_sentence_norule,8000,,1.0,1.0,1.0,1.0,0.8503449055347546,1.0,8000,0.0,100,40,0,0,False,0
eac54adc,temporal-reasoning,S4_static,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,60,87,1,0,False,0
eac54adc,temporal-reasoning,S5_primary,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,52,81,1,0,False,0
eac54adc,temporal-reasoning,S5_primary_norule,8000,,1.0,1.0,1.0,1.0,0.9197207891481876,1.0,8000,0.0,100,30,1,0,False,0
eac54adc,temporal-reasoning,S5_noPGR,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,62,90,1,0,False,0
eac54adc,temporal-reasoning,S5_planner_rules,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,52,81,1,0,False,0
eac54adc,temporal-reasoning,S5_planner_oracle,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,52,81,1,0,False,0
eac54adc,temporal-reasoning,S5_overlay_R0,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,56,89,0,0,False,0
eac54adc,temporal-reasoning,S5_overlay_R2,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,52,81,1,0,False,0
eac54adc,temporal-reasoning,S5_overlay_P0,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,55,89,0,0,False,0
eac54adc,temporal-reasoning,S2_lazy,8000,,1.0,1.0,1.0,1.0,1.0,1.0,8000,0.0,146,90,1,0,False,0
eac54adc,temporal-reasoning,chandan_live,4000,"shipped,raised_4k",0.0,1.0,0.0,0.5,0.6131471927654584,0.5,4000,0.0,228,2,1,0,False,0
eac54adc,temporal-reasoning,chandan_full,4000,shipped,0.0,1.0,0.0,0.5,0.6131471927654584,0.5,4000,0.0,228,2,1,0,False,0
eac54adc,temporal-reasoning,chandan_live,8000,"shipped,raised_8k",0.0,1.0,0.0,0.5,0.6131471927654584,0.5,8000,0.0,228,4,1,0,False,0
eac54adc,temporal-reasoning,chandan_full,8000,shipped,0.0,1.0,0.0,0.5,0.6131471927654584,0.5,8000,0.0,228,4,1,0,False,0
2c63a862,temporal-reasoning,ours_cheap,4000,,1.0,1.0,1.0,1.0,0.5249810332008933,1.0,4000,0.0,58,69,1,0,False,0
2c63a862,temporal-reasoning,ours_cheap_norule,4000,,1.0,1.0,1.0,0.5,0.20438239758848611,1.0,4000,0.0,100,18,1,0,False,0
2c63a862,temporal-reasoning,ours_sentence_norule,4000,,1.0,1.0,1.0,0.5,0.18457569677956817,1.0,4000,0.0,100,16,1,0,False,0
2c63a862,temporal-reasoning,S4_static,4000,,1.0,1.0,1.0,1.0,0.448643819352159,1.0,4000,0.0,49,64,1,0,False,0
2c63a862,temporal-reasoning,S5_primary,4000,,1.0,1.0,1.0,1.0,0.5109559939712153,1.0,4000,0.0,50,64,1,0,False,0
2c63a862,temporal-reasoning,S5_primary_norule,4000,,0.0,1.0,1.0,0.5,0.18457569677956817,1.0,4000,0.0,100,13,1,0,False,0
2c63a862,temporal-reasoning,S5_noPGR,4000,,1.0,1.0,1.0,1.0,0.5109559939712153,1.0,4000,0.0,47,60,1,0,False,0
2c63a862,temporal-reasoning,S5_planner_rules,4000,,1.0,1.0,1.0,1.0,0.5109559939712153,1.0,4000,0.0,50,64,1,0,False,0
2c63a862,temporal-reasoning,S5_planner_oracle,4000,,1.0,1.0,1.0,1.0,0.5109559939712153,1.0,4000,0.0,50,64,1,0,False,0
2c63a862,temporal-reasoning,S5_overlay_R0,4000,,1.0,1.0,1.0,1.0,0.42177340954886444,1.0,4000,0.0,50,65,1,0,False,0
2c63a862,temporal-reasoning,S5_overlay_R2,4000,,1.0,1.0,1.0,1.0,0.40298313359773236,1.0,4000,0.0,51,63,1,0,False,0
2c63a862,temporal-reasoning,S5_overlay_P0,4000,,1.0,1.0,1.0,1.0,0.8503449055347546,1.0,4000,0.0,52,60,1,0,False,0
2c63a862,temporal-reasoning,S2_lazy,4000,,1.0,1.0,1.0,1.0,0.448643819352159,1.0,4000,0.0,124,64,1,0,False,0
2c63a862,temporal-reasoning,ours_cheap,8000,,1.0,1.0,1.0,1.0,0.5249810332008933,1.0,5271,0.0,58,90,0,0,False,0
2c63a862,temporal-reasoning,ours_cheap_norule,8000,,1.0,1.0,1.0,0.5,0.20438239758848611,1.0,8000,0.0,100,40,1,0,False,0
2c63a862,temporal-reasoning,ours_sentence_norule,8000,,1.0,1.0,1.0,0.5,0.18457569677956817,1.0,8000,0.0,100,29,1,0,False,0
2c63a862,temporal-reasoning,S4_static,8000,,1.0,1.0,1.0,1.0,0.448643819352159,1.0,7425,0.0,49,124,0,0,False,0
2c63a862,temporal-reasoning,S5_primary,8000,,1.0,1.0,1.0,1.0,0.5109559939712153,1.0,8000,0.0,50,133,1,0,False,0
2c63a862,temporal-reasoning,S5_primary_norule,8000,,1.0,1.0,1.0,0.5,0.18457569677956817,1.0,7995,0.0,100,31,0,0,False,0
2c63a862,temporal-reasoning,S5_noPGR,8000,,1.0,1.0,1.0,1.0,0.5109559939712153,1.0,6548,0.0,47,103,0,0,False,0
2c63a862,temporal-reasoning,S5_planner_rules,8000,,1.0,1.0,1.0,1.0,0.5109559939712153,1.0,8000,0.0,50,133,1,0,False,0
2c63a862,temporal-reasoning,S5_planner_oracle,8000,,1.0,1.0,1.0,1.0,0.5109559939712153,1.0,8000,0.0,50,133,1,0,False,0
2c63a862,temporal-reasoning,S5_overlay_R0,8000,,1.0,1.0,1.0,1.0,0.42177340954886444,1.0,7425,0.0,50,124,0,0,False,0
2c63a862,temporal-reasoning,S5_overlay_R2,8000,,1.0,1.0,1.0,1.0,0.40298313359773236,1.0,8000,0.0,51,133,1,0,False,0
2c63a862,temporal-reasoning,S5_overlay_P0,8000,,1.0,1.0,1.0,1.0,0.8503449055347546,1.0,8000,0.0,52,132,0,0,False,0
2c63a862,temporal-reasoning,S2_lazy,8000,,1.0,1.0,1.0,1.0,0.448643819352159,1.0,7425,0.0,124,124,0,0,False,0
2c63a862,temporal-reasoning,chandan_live,4000,"shipped,raised_4k",1.0,1.0,1.0,0.5,0.18457569677956817,1.0,4000,0.0,248,2,1,1,False,0
2c63a862,temporal-reasoning,chandan_full,4000,shipped,1.0,1.0,1.0,0.5,0.18457569677956817,1.0,4000,0.0,248,2,1,1,False,0
2c63a862,temporal-reasoning,chandan_live,8000,"shipped,raised_8k",1.0,1.0,1.0,0.5,0.18457569677956817,1.0,8000,0.0,248,3,1,0,False,0
2c63a862,temporal-reasoning,chandan_full,8000,shipped,1.0,1.0,1.0,0.5,0.18457569677956817,1.0,8000,0.0,248,3,1,0,False,0
gpt4_7de946e7,temporal-reasoning,ours_cheap,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,49,57,1,0,False,0
gpt4_7de946e7,temporal-reasoning,ours_cheap_norule,4000,,1.0,1.0,1.0,1.0,0.8503449055347546,1.0,4000,0.0,100,18,1,0,False,0
gpt4_7de946e7,temporal-reasoning,ours_sentence_norule,4000,,1.0,1.0,1.0,1.0,0.5706417189553201,1.0,4000,0.0,100,20,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S4_static,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,44,42,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_primary,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,48,45,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_primary_norule,4000,,1.0,1.0,1.0,1.0,0.8315546295836225,1.0,4000,0.0,100,18,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_noPGR,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,47,46,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_planner_rules,4000,,1.0,1.0,1.0,1.0,0.9197207891481876,1.0,4000,0.0,48,40,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_planner_oracle,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,48,45,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_overlay_R0,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,42,40,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_overlay_R2,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,48,45,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_overlay_P0,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,43,40,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S2_lazy,4000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,4000,0.0,99,42,1,0,False,0
gpt4_7de946e7,temporal-reasoning,ours_cheap,8000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,5761,0.0,49,77,0,0,False,0
gpt4_7de946e7,temporal-reasoning,ours_cheap_norule,8000,,1.0,1.0,1.0,1.0,0.8503449055347546,1.0,8000,0.0,100,37,1,0,False,0
gpt4_7de946e7,temporal-reasoning,ours_sentence_norule,8000,,1.0,1.0,1.0,1.0,0.5706417189553201,1.0,8000,0.0,100,35,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S4_static,8000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,8000,0.0,44,89,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_primary,8000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,8000,0.0,48,97,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_primary_norule,8000,,1.0,1.0,1.0,1.0,0.8315546295836225,1.0,8000,0.0,100,32,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_noPGR,8000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,7681,0.0,47,86,0,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_planner_rules,8000,,1.0,1.0,1.0,1.0,0.9197207891481876,1.0,8000,0.0,48,92,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_planner_oracle,8000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,8000,0.0,48,97,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_overlay_R0,8000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,8000,0.0,42,96,1,0,False,0
gpt4_7de946e7,temporal-reasoning,S5_overlay_R2,8000,,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,8000,0.0,48,97,1,0,False,0
